Abigail	Abi
Edward	Edek
Edward	Eduś
Edward	Edwardzik
Edward	Edzik
Edward	Edzio
Edward	Edziu
Edyta	Dita
Edyta	Ditka
Edyta	Edytka
Edyta	Edzia
Eliasz	Elek
Eliasz	Eliaszek
Eliasz	Elunio
Eliasz	Eluś
Eligiusz	Elek
Eligiusz	Eligiuszek
Elżbieta	Elcia
Elżbieta	Elka
Elżbieta	Elunia
Elżbieta	Elusia
Elżbieta	Elżbietka
Elżbieta	Elżunia
Emilia	Emi
Emilia	Emila
Emilia	Emilcia
Emilia	Emileczka
Emilia	Emili
Emilia	Emilka
Emilia	Emilunia
Emilia	Emilusia
Emilia	Emiluńcia
Emilia	Emiluńka
Emilia	Emiluś
Emilia	Emiluśka
Emilia	Emiś
Emilia	Mila
Emilia	Milcia
Emilia	Milka
Emilia	Milunia
Emilia	Milusia
Emilia	Miluńka
Emilia	Miluś
Emilia	Miluśka
Engelbert	Bercik
Engelbert	Engelbercik
Ernestyna	Ernestynka
Erwin	Erwinek
Erwina	Erwinka
Estera	Esterka
Eufemia	Ofka
Eugenia	Genia
Eugenia	Genka
Eugeniusz	Gienek
Eugeniusz	Gienio
Ewa	Ewcia
Ewa	Eweczka
Ewa	Ewka
Ewa	Ewunia
Ewa	Ewusia
Ewaryst	Ewarystek
Ewelina	Ewelinka
Fabian	Fabianek
Faustyn	Faustynek
Faustyna	Faustynka
Felicjan	Felek
Feliks	Felek
Feliks	Feluś
Ferdynand	Ferdek
Filip	Filipek
Flora	Florcia
Flora	Floreczka
Flora	Florka
Flora	Florunia
Flora	Florusia
Florencjusz	Florek
Florenty	Florek
Florentyn	Florek
Florian	Florcio
Florian	Floreczek
Florian	Florek
Florian	Florianek
Florian	Florunio
Florian	Floruś
Franciszek	Franek
Franciszek	Franio
Franciszek	Franuś
Francuz	Francuzik
Francuzka	Francuzeczka
Fryderyk	Fryc
Fryderyk	Fryderyczek
GAZ	gazik
Gabriel	Gabrielek
Gabriel	Gabryś
Gabriela	Gabi
Gabriela	Gabrysia
Gabriela	Gabryśka
Gaweł	Gawełek
Gaweł	Gawliczek
Gaweł	Gawlik
Genowefa	Genia
Genowefa	Geniusia
Genowefa	Genka
Georgina	Georginka
Georgina	Gina
Geraldyna	Dyna
Geraldyna	Geraldynia
Geraldyna	Geraldynka
Geraldyna	Geraldysia
Gracjan	Gracjanek
Gracjan	Gracuś
Grażyna	Graża
Grażyna	Grażka
Grażyna	Grażynka
Grzegorz	Grzesiek
Grzegorz	Grzesio
Grzegorz	Grzesiu
Grzegorz	Grześ
Gustaw	Gucio
Gustaw	Gustawek
Gustaw	Gutek
Halina	Hala
Halina	Halcia
Halina	Halineczka
Halina	Halinka
Halina	Halisia
Halina	Halka
Halina	Halusia
Hanna	Hanczka
Hanna	Haneczka
Hanna	Hania
Hanna	Hanka
Hanna	Hannula
Hanna	Hannusza
Hanna	Hansza
Hanna	Hanszka
Hanna	Hanuchna
Hanna	Hanula
Hanna	Hanulka
Hanna	Hanunia
Hanna	Hanusia
Hanna	Hanusza
Hanna	Hanuszka
Hanna	Hańcik
Hanna	Hańka
Hanys	Hanysek
Hatifnat	Hatifnatek
Helena	Hela
Helena	Helcia
Helena	Helenka
Helena	Helunia
Helena	Helusia
Henryk	Heniek
Henryk	Henio
Henryk	Heniuś
Henryk	Henryczek
Henryk	Henryś
Henryka	Henia
Hiacynt	Hiacyntek
Hieronim	Hireczek
Hieronim	Hirek
Hieronim	Hiruś
Hilary	Hilarek
Hiob	Hiobek
Hiszpanka	Hiszpaneczka
Honorata	Honia
Honorata	Honoratka
Honorata	Honorcia
Hubert	Hubercik
Hugo	Hugonek
Ida	Hidka
Ida	Idka
Ida	Idźka
Ignacy	Ignaś
Ilona	Ilonka
Internet	Internecik
Irena	Ircia
Irena	Irenka
Irena	Irka
Ireneusz	Ireczek
Ireneusz	Irek
Ireneusz	Iruś
Iryda	Irydeczka
Iryda	Irydusia
Iryda	Irydzia
Irydion	Irydionek
Iwona	Iwonka
Izabela	Iza
Izabela	Izabelka
Izabela	Izka
Izabela	Izunia
Izajasz	Izaj
Izajasz	Izajaszek
Izajasz	Izajek
Jacek	Jacuś
Jaczemir	Jaczemireczek
Jaczemir	Jaczemirek
Jaczemir	Jaczemiruś
Jaczemir	Jaczemiś
Jaczemira	Jaczemirka
Jaczemira	Jaczemisia
Jadwiga	Jadwinia
Jadwiga	Jadwisia
Jadwiga	Jadzia
Jadwiga	Jadźka
Jadwiga	Jagna
Jagoda	Jagódka
Jakub	Jakubek
Jakub	Kuba
Jakub	Kubuś
Jan	Janeczek
Jan	Janek
Jan	Janko
Jan	Jasiek
Jan	Jasio
Jan	Jaś
Jan	Jaśko
Janina	Janeczka
Janina	Janinka
Janina	Janka
Janina	Jasiunia
Janusz	Januszek
Japonka	Japoneczka
Jaromir	Jaromirek
Jarosław	Jareczek
Jarosław	Jarek
Jarosław	Jaruś
Jeremiasz	Jeremiaszek
Jerzy	Jerzyk
Jerzy	Jurcyś
Jerzy	Jureczek
Jerzy	Jurek
Jerzy	Juruś
Jerzy	Orcio
Jezus	Jezuniek
Jezus	Jezunio
Jezus	Jezusek
Jezus	Jezusicek
Jezus	Jezusiczek
Jezus	Jezusik
Joachim	Joachimek
Joanna	Asia
Joanna	Aśka
Joanna	Joasia
Joanna	Joaśka
Joel	Joelek
Jola	Jolka
Jolanta	Jola
Jolanta	Jolcia
Jolanta	Joleczka
Jolanta	Jolka
Jolanta	Jolunia
Jolanta	Jolusia
Jolanta	Joluś
Juda	Judek
Judyta	Dyta
Judyta	Dytka
Judyta	Juda
Judyta	Judka
Judyta	Judytka
Julia	Jula
Julia	Julcia
Julia	Julka
Juliusz	Julek
Jur	Jureczek
Jur	Jurek
Jur	Juruś
Justyna	Justynka
Józef	Józeczek
Józef	Józefek
Józef	Józek
Józef	Józiek
Józef	Józik
Józef	Józio
Józef	Józuś
Józef	Józwa
Józef	Jóźko
Józef	Ziutek
Józefa	Józia
Józefa	Józka
Józefa	Ziuta
Jędrzej	Jędrek
Jędrzej	Jędrunio
Jędrzej	Jędruś
Jędrzej	Jędrzejek
Kacper	Kacperek
Kajetan	Kajtek
Kalina	Kalinka
Kamil	Kamilek
Kamil	Kamiluś
Kamil	Mila
Kamil	Milek
Kamila	Kamilcia
Kamila	Kamilka
Karlik	Karliczek
Karol	Karolek
Karol	Lolek
Karolina	Karola
Karolina	Karolcia
Karolina	Karolinka
Karolina	Lola
Karolinka	Karolcia
Kasandra	Kasandrunia
Kasandra	Kasandrusia
Kasandra	Sandra
Kasia	Kasieńka
Kastor	Kastek
Kastor	Kastorek
Kastor	Kastunio
Kastor	Kastuś
Katarzyna	Kasia
Katarzyna	Kasieńka
Katarzyna	Kasiunia
Katarzyna	Kasiuńka
Katarzyna	Katarzynka
Katarzyna	Kaśka
Kazimierz	Kasz
Kazimierz	Kazek
Kazimierz	Kazik
Kazimierz	Kazio
Kazimierz	Kaziuk
Kicia	Kiciunia
Kinga	Kingunia
Kinga	Kingusia
Kinga	Kinia
Klemens	Klimek
Kleopatra	Klea
Kleopatra	Kleo
Kolumban	Kolumbanek
Kolumban	Kolumbek
Konrad	Konradek
Konstanty	Kostek
Kotlina	kotlinka
Kryspin	Kryspek
Kryspin	Kryspinek
Krystyna	Krysia
Krystyna	Krysieńka
Krystyna	Krystka
Krystyna	Krystynka
Krystyna	Kryśka
Krystyna	Krzycha
Krzesimir	Krzesio
Krzesisława	Krzesia
Krzysiek	Krzyś
Krzysztof	Krzysiaczek
Krzysztof	Krzysiek
Krzysztof	Krzysio
Krzysztof	Krzysiu
Krzysztof	Krzysiulek
Krzysztof	Krzysiunio
Krzysztof	Krzysztofek
Krzysztof	Krzyś
Kuba	Kubuś
Kujawiak	Kujawiaczek
Kunegunda	Kundzia
Kwiatosław	Kwiatek
Kwiatosław	Kwiatosławek
Kwiatosław	Kwiatunio
Kwiatosław	Kwiatuszek
Kwiatosław	Kwiatuś
Kwiatosława	Kwiatka
Kwiatosława	Kwiatosławka
Kwiatosława	Kwiatulka
Kwiatosława	Kwiatunia
Kwiatosława	Kwiatusia
Kwiatosława	Kwiatuszka
Kwietosław	Kwietek
Kwietosław	Kwietosławek
Kwietosław	Kwietunio
Kwietosław	Kwietuszek
Kwietosław	Kwietuś
Kwietosława	Kwietka
Kwietosława	Kwietosławka
Kwietosława	Kwietulka
Kwietosława	Kwietunia
Kwietosława	Kwietusia
Kwietosława	Kwietuszka
Lach	Laszek
Laotanka	Laotaneczka
Lech	Lechu
Lech	Leszek
Leon	Leonek
Leon	Leoś
Leonia	Leosia
Leonia	Leosieńka
Leonia	Leośka
Leopold	Lolek
Leopold	Poldek
Leopold	Poldzio
Leszek	Lesio
Lew	Lewek
Lew	Lewuś
Lidia	Lideczka
Lidia	Lidka
Lidia	Lidzia
Liliana	Lila
Longina	Lonia
Lucjusz	Lucek
Lucjusz	Lucjuszek
Ludmiła	Ludka
Ludmiła	Ludmiłka
Ludmiła	Miła
Ludmiła	Miłka
Ludwik	Ludwiczek
Luna	Luneczka
Luna	Lunia
Luna	Lunka
Maciej	Maciejek
Maciej	Maciejunio
Maciej	Maciek
Maciej	Maciuś
Maciej	Matysek
Maciej	Maćko
Maciek	Maciuś
Magda	Madzia
Magdalena	Madzia
Magdalena	Magda
Magdalena	Magdalenka
Magdalena	Magdunia
Magdalena	Magdusia
Magdalena	Magdzia
Maja	Majeczka
Maja	Majka
Makary	Makarek
Makary	Makaś
Malwina	Malwinka
Marcel	Marcelek
Marceli	Marcelek
Marceli	Marcyś
Marcelina	Marcysia
Marcin	Marcinek
Marcin	Marcyś
Marcjan	Marcyś
Marcjanna	Marcysia
Marek	Mareczek
Marek	Maruś
Maria	Mania
Maria	Maniuś
Maria	Marynia
Maria	Marysia
Maria	Maryś
Maria	Maryśka
Maria	Mańka
Marian	Maryś
Marianna	Mania
Mariola	Mariolcia
Mariola	Mariolka
Mariusz	Mariuszek
Marlena	Marlenka
Marta	Martunia
Marta	Martusia
Martyna	Martyncia
Martyna	Martynka
Martyna	Martysia
Maryna	Marynia
Marzena	Marzenka
Mateusz	Mateuszek
Mateusz	Mati
Małgorzata	Gosia
Małgorzata	Gośka
Małgorzata	Margo
Małgorzata	Margoszka
Małgorzata	Małgorzatka
Małgorzata	Małgosia
Małgorzata	Małgoś
Małgorzata	Małgośka
Małgosia	Gosia
Medard	Medardek
Medard	Medek
Melania	Mela
Melchior	Melchiorek
Melita	Melitka
Metys	Metysek
Michalina	Michala
Michalina	Michalinka
Michalina	Michasia
Michalina	Michaśka
Michalina	Misia
Michalina	Miśka
Michał	Michałek
Michał	Michaś
Michał	Misiek
Michał	Miś
Mieczysław	Mietek
Mikołaj	Kola
Mikołaj	Micek
Mikołaj	Mik
Mikołaj	Mikosz
Mikołaj	Mikołajek
Mikołaj	Mikuś
Miranda	Minda
Miranda	Mira
Miranda	Mirandeczka
Miranda	Mirandka
Miranda	Mirandunia
Miranda	Mirandusia
Miranda	Mirandzia
Miranda	Randa
Mirela	Mirelcia
Mirela	Mirelka
Mirosław	Mireczek
Mirosław	Mirek
Mirosław	Miruś
Mirosława	Mirka
Miłosław	Miłosz
Miłosława	Miłka
Mojmir	Mojmirek
Mojżesz	Mojżeszek
Monika	Monia
Monika	Moniczka
Monika	Monisia
Mołdawianka	Mołdawianeczka
Mulat	Mulatek
Murzyn	Murzynek
Mścisława	Mścicha
Mścisława	Mścichna
Nadzieja	Nadziejka
Natalia	Natalka
Natalia	Natka
Newa	Newka
Niemiec	niemiaszek
Nikifor	Nikiforek
Nora	Norka
Norbert	Norbercik
Nowojorczanka	Nowojorczaneczka
Ojciec	ojczulek
Oliwia	Liwia
Oliwia	Oliwcia
Oliwia	Oliwka
Oliwier	Oliwierek
Ondrasz	Ondraszek
Otylia	Tola
Ozeasz	Ozeaszek
Pakistanka	Pakistaneczka
Patrycja	Pati
Patrycja	Patka
Patrycja	Patrynia
Patrycja	Patrysia
Patrycja	Patusia
Patrycja	Pysia
Patryk	Patryczek
Paulin	Paulinek
Paulina	Paulinka
Paweł	Paulek
Paweł	Pawełek
Paweł	Pawlik
Paweł	Pawluś
Pelagia	Pela
Pepik	Pepiczek
Piotr	Pietrek
Piotr	Pietruniek
Piotr	Piotrek
Piotr	Piotruś
Polak	Polaczek
Polak	polaczek
Prakseda	Sedzia
Przemysł	Przemek
Przemysław	Przemcio
Przemysław	Przemek
Przemysław	Przemuś
Rachela	Rachelka
Radomił	Radek
Radosław	Radek
Radosław	Radzio
Rafał	Rafałek
Rajmund	Mundek
Rajmund	Rajmundek
Rebeka	Ryfka
Reks	Reksio
Remigiusz	Remik
Renata	Renatka
Renata	Renia
Renata	Reńka
Robert	Robcio
Robert	Robercik
Robert	Robi
Robert	Robuś
Roch	Roszek
Roch	Roszko
Rodryg	Rod
Roksana	Roksa
Roksana	Roksaneczka
Roksana	Roksanka
Roksana	Roksulka
Roksana	Roksunia
Roksana	Roksusia
Roland	Rolandek
Roland	Rolandzik
Roman	Romeczek
Roman	Romek
Roman	Romuś
Romana	Romka
Romuald	Romek
Romuald	Romualdzik
Rosjanka	Rosjaneczka
Rozalia	Rozalcia
Rozalia	Rozalka
Rufus	Rufusek
Rumunka	Rumuneczka
Ryszard	Rychu
Ryszard	Rysiek
Ryszard	Rysio
Ryszard	Rysiu
Ryszard	Ryś
Ryszarda	Rysia
Ryszarda	Ryśka
Róża	Rózia
Róża	Różyczka
Samuel	Samuelek
Sandra	Sandrunia
Sandra	Sandrusia
Sanok	Sanoczek
Sara	Sarcia
Sara	Sarunia
Sebastian	Bastek
Sebastian	Baścik
Sebastian	Seba
Sebastian	Sebastianek
Selena	Sela
Selena	Selcia
Selena	Selenka
Selena	Selunia
Selena	Selusia
Serena	Sera
Serena	Serenka
Serena	Serunia
Serena	Serusia
Skop	Skopek
Stach	Stachura
Stanisław	Stach
Stanisław	Stachura
Stanisław	Stasiek
Stanisław	Stasio
Stanisław	Staszek
Stanisław	Staś
Stanisława	Stacha
Stanisława	Stasia
Stanisława	Staszka
Stefan	Stefanek
Stefan	Stefcio
Stefan	Stefek
Stefan	Stefuś
Stefania	Stefa
Stefania	Stefcia
Stefania	Stefka
Stela	Stelcia
Stela	Stelka
Stela	Stelunia
Stela	Stelusia
Stella	Stelcia
Stella	Stelka
Stella	Stelunia
Stella	Stelusia
Sylwester	Sylweczek
Sylwester	Sylwek
Sylwester	Sylwunio
Sylwester	Sylwuś
Sylwestra	Sylwcia
Sylwestra	Sylweczka
Sylwestra	Sylwka
Sylwestra	Sylwunia
Sylwestra	Sylwusia
Symplicjusz	Symplicjuszek
Syriusz	Syriuszek
Szczepan	Szczepanek
Szczepan	Szczepcio
Szczepan	Szczepek
Szczepan	Szczepko
Szczepan	Szczepuś
Szwajcarka	Szwajcareczka
Szymon	Szymek
Szymon	Szymuś
Sławomir	Sławeczek
Sławomir	Sławek
Sławomir	Sławuś
Słowianka	Słowianeczka
T-shirt	T-shircik
Tadeusz	Tadek
Tadeusz	Tadeuszek
Tadeusz	Tadzik
Tadeusz	Tadzio
Tarsycjusz	Tarsycjuszek
Tekla	Tecia
Tekla	Tekleczka
Tekla	Teklunia
Tekla	Teklusia
Tekla	Tela
Teodor	Teodorek
Teodor	Teoś
Teofil	Teoś
Teofila	Teosia
Teresa	Terenia
Teresa	Tereska
Tolisława	Tola
Tomasz	Tomaszek
Tomasz	Tomcio
Tomasz	Tomeczek
Tomasz	Tomek
Tomasz	Tomko
Tomasz	Tomuś
Tomisław	Sławek
Tomisław	Tom
Tomisław	Tomcio
Tomisław	Tomek
Tomisław	Tomisławek
Tomisław	Tomuś
Tristan	Tristanek
Truda	Trudka
Tymon	Tymonek
Tymon	Tymuś
Tymoteusz	Tymoteuszek
Urban	Urbanek
Urban	Urbaś
Urban	Urbek
Uriel	Urielek
Ursyn	Ursynek
Urszula	Ula
Urszula	Ulcia
Urszula	Uleczka
Urszula	Uleńka
Urszula	Ulka
Urszula	Ulusia
Urszula	Urszulka
Urszula	Usia
Wacław	Wacek
Wacław	Wacio
Wacław	Wacuś
Wacław	Wacławek
Waldemar	Waldeczek
Waldemar	Waldek
Waldemar	Waldi
Waldemar	Walduś
Walenty	Walek
Walenty	Waluś
Walentyna	Wala
Walentyna	Walentynka
Waleria	Walercia
Waleria	Walerka
Wanda	Wandeczka
Wanda	Wandusia
Wanda	Wandzia
Wawrzyniec	Wawrzek
Wawrzyniec	Wawrzuś
Weronika	Nika
Weronika	Weroniczka
Weronika	Weronisia
Weronika	Weronka
Wiara	Wiarka
Wiara	Wiarunia
Wierzyn	Wierzynek
Wiesław	Wiesiek
Wiesława	Wiesia
Wiesława	Wieśka
Wiktor	Wiktorek
Wiktoria	Wika
Wiktoria	Wiki
Wiktoria	Wikta
Wiktoria	Wiktorka
Wiktoria	Wiktunia
Wiktoria	Wiktusia
Wiktoria	Wikunia
Wiktoria	Wikusia
Wilhelm	Wiluś
Wincenty	Wicek
Wincenty	Wicuś
Winicjusz	Winicjuszek
Wioleta	Wiola
Wioleta	Wiolcia
Wioleta	Wioletka
Wioleta	Wiolka
Wioleta	Wiolunia
Wioleta	Wiolusia
Wioletta	Wiola
Wioletta	Wiolcia
Wioletta	Wioleczka
Wioletta	Wioletka
Wioletta	Wioletteczka
Wioletta	Wiolettka
Wioletta	Wiolettunia
Wioletta	Wiolettusia
Wioletta	Wiolka
Wioletta	Wiolunia
Wioletta	Wiolusia
Wisła	Wisełka
Wit	Witek
Wit	Wituś
Witold	Wicio
Witold	Witek
Witold	Wituś
Witosław	Wicio
Witosław	Witek
Witosław	Wituś
Witołd	Witek
Wojciech	Wojtek
Wojciech	Wojtuś
Wszerad	Wszeradek
Władysław	Władek
Władysław	Właduś
Władysław	Władzik
Władysław	Władzio
Władysław	Władziu
Władysława	Władka
Władysława	Władzia
Włodzimierz	Włodek
Zachariasz	Charz
Zachariasz	Charzyk
Zacheusz	Zacheuszek
Zbigniew	Zbynek
Zbigniew	Zbynio
Zbigniew	Zbyszek
Zbigniew	Zbyszko
Zbigniew	Zbyś
Zbigniewa	Zbynia
Zbigniewa	Zbysia
Zbigniewa	Zbyszka
Zdzisław	Zdzich
Zdzisław	Zdzicho
Zdzisław	Zdzisiek
Zdzisław	Zdzisio
Zdzisław	Zdziś
Zefir	Zefireczek
Zefir	Zefirek
Zefir	Zefirunio
Zefir	Zefiruś
Zefiryn	Zefiryneczek
Zefiryn	Zefirynek
Zefiryn	Zefirynuś
Zefiryna	Zefirynka
Zenek	Zenuś
Zenon	Zenek
Zenon	Zenonek
Zenon	Zenuś
Ziemowit	Ziemek
Ziemowit	Ziemuś
Zofia	Zofka
Zofia	Zosia
Zofia	Zosieńka
Zofia	Zośka
Zora	Zoreczka
Zora	Zorka
Zora	Zorunia
Zora	Zorusia
Zuzanna	Zuza
Zuzanna	Zuzia
Zygmunt	Zygmuś
abażur	abażurek
ablegier	ablegierek
abonament	abonamencik
absmak	absmaczek
absurd	absurdzik
absynt	absyncik
acan	acanek
achtel	achtelek
achtel	achtylik
achtel	aktelik
achtlik	achtliczek
adiutant	adiutancik
adres	adresik
adresówka	adresik
adwokat	adwokacik
adwokatka	adwokacik
afekt	afekcik
afera	aferka
aferowy	aferka
afront	afroncik
agat	agacik
agencja	agencyjka
agenda	agendka
agent	agencik
agentka	agencik
agentura	agenturka
agrafka	agrafeczka
agregat	agregacik
agrest	agreścik
ajerkoniak	ajerkoniaczek
ajmer	ajmerek
akapit	akapicik
akcent	akcencik
akcept	akcepcik
akces	akcesik
akcja	akcyjka
akcydens	akcydensik
akordeon	akordeonik
aksamit	aksamicik
aksjomat	aksjomacik
akt	akcik
aktorka	aktoreczka
akumulator	akumulatorek
akwamaryn	akwamerynek
akwarela	akwarelka
akwedukt	akwedukcik
album	albumik
alegoria	alegoryjka
aleja	alejka
alert	alercik
alfonsiak	alfonsiaczek
alkierz	alkierzyk
alt	alcik
altana	altanka
aluzyjny	aluzyjka
ambicja	ambicyjka
ambona	ambonka
amerykanka	amerykaneczka
ametyst	ametyścik
amfetamina	amfetaminka
amisz	amiszek
amoniak	amoniaczek
amortyzator	amortyzatorek
ampułka	ampułeczka
amulet	amulecik
ananas	ananasek
ananas	ananasik
andrut	andrucik
aneks	aneksik
anioł	anielik
anioł	anielątko
anioł	aniołeczek
anioł	aniołek
aniołek	aniołeczek
anorak	anoraczek
antena	antenka
antrakt	antrakcik
antykwariat	antykwariacik
aparat	aparacik
apartament	apartamencik
apel	apelik
apetyt	apetycik
aport	aporcik
apteka	apteczka
aptekarka	aptekareczka
arab	arabczyk
arak	araczek
arbuz	arbuzik
archanioł	archaniołek
arcypies	pieseczek
arcypies	piesek
arcypies	piesunio
arcypies	psiaczek
arcypies	psinka
arcypies	psiątko
arena	arenka
areszt	areszcik
argument	argumencik
arkusz	arkusik
armaniak	armaniaczek
aromat	aromacik
artefakt	artefakcik
artykuł	artykulik
as	asik
asfalt	asfalcik
aspekt	aspekcik
asumpt	asumpcik
atak	ataczek
atest	ateścik
atlas	atlasik
atomówka	atomóweczka
atrament	atramencik
atrybut	atrybucik
atut	atucik
audyt	audycik
aut	aucik
auto	autko
autobus	autobusik
automat	automacik
autoportret	autoportrecik
awans	awansik
awantura	awanturka
azbest	azbeścik
azotniak	azotniaczek
azymut	azymucik
ażur	ażurek
baba	babeczka
baba	babina
baba	babka
baba	babuleńka
babcia	babcinka
babina	babinka
babka	babcia
babka	babeczka
babka	babunia
bachor	bachorek
badyl	badylek
bagnet	bagnecik
bagno	bagienko
bajka	bajeczka
bajt	bajcik
bak	baczek
bakłażan	bakłażanek
balast	balaścik
baldach	baldaszek
balet	balecik
baletnica	baletniczka
balia	balijka
balkon	balkonik
balon	balonik
balot	balocik
balsam	balsamik
bambus	bambusik
bambusowy	bambusik
banan	bananik
banderola	banderolka
bandla	bandliczka
bandura	bandurka
baniak	baniaczek
banialuki	pierdołka
