ablegier	ablegierek
Ewa	Ewka
Ewa	Ewunia
Ewa	Ewusia
faeton	faetonik
falbana	falbanka
fałat	fałatek
fałdka	fałdeczka
farosz	farosik
farosz	faroszek
faworyt	faworycik
faworyt	faworytek
Felicja	Felcia
Felicja	Felka
Felicja	Felusia
Felicjan	Feluś
Feliks	Feluś
Ferdynand	Ferdek
Ferdynand	Ferdzik
Filip	Fil
Filip	Filek
Filip	Filipek
Filip	Filuś
filut	filutek
flejtuch	flejtuszek
foksterier	foksterierek
fortepian	fortepianik
Franciszek	Francek
Franciszek	Francik
Franciszek	Franek
Franciszek	Franio
Franciszek	Franuś
Franciszek	Froncek
Franciszka	Frania
Francuz	Francuzik
Fryderyk	Fredzio
Fryderyk	Fryc
Fryderyk	Frycek
Fryderyk	Fryderyczek
Fryderyk	Frydzio
gablota	gablotka
Gabriel	Gabryś
Gabriela	Gaba
Gabriela	Gabi
Gabriela	Gabrielka
Gabriela	Gabrysia
Gabriela	Gabryśka
galant	galancik
galareta	galaretka
gałąź	gałązka
garbus	garbusek
Genowefa	Genia
Genowefa	Gienia
Genowefa	Gieniuchna
Genowefa	Gienka
Genowefa	Gieńka
Gertruda	Gierka
Gertruda	Truda
Gertruda	Trudka
Gertruda	Trudzia
godzina	godzinka
golas	golasek
gołąb	gołębisio
góral	góralik
grajcar	grajcarek
Grigorij	Grisza
Grzegorz	Grzech
Grzegorz	Grzesiek
Grzegorz	Grzesio
Grzegorz	Grześ
grzęda	grządka
gulden	guldenek
gulden	guldenik
Gustaw	Gucio
Gustaw	Gustawek
Gustaw	Gustek
Gustaw	Gutek
Halina	Hala
Halina	Halinka
Halina	Halka
Halina	Halusia
Hanna	Haneczka
Hanna	Hania
Hanna	Hanka
Hanna	Hanula
Hanna	Hanusia
harem	haremik
hawana	hawanka
Helena	Hela
Helena	Helcia
Helena	Helenka
Helena	Helka
Helena	Helusia
hełm	hełmik
Henryk	Heniek
Henryk	Henio
Henryk	Henryczek
Henryk	Henryś
Henryka	Henia
Henryka	Henryczka
Henryka	Henrysia
Henryka	Rysia
herbata	herbatka
Hieronim	Hirek
Hipolit	Hipcio
Hipolit	Hipek
Honorata	Honoratka
Honorata	Honorcia
Honorata	Honorka
Hubert	Bercik
Hubert	Hubercik
Icchak	Icek
identyfikator	identyfikatorek
idiom	idiomek
Ignacy	Ignacek
Ignacy	Ignaś
Igor	Igorek
Igor	Iguś
ikebana	ikebanka
Ildefons	Fonsik
Ildefons	Fonsio
Ildefons	Ildefonsik
Irena	Ira
Irena	Ircia
Irena	Irenka
Irena	Irka
Ireneusz	Ireczek
Ireneusz	Irek
Ireneusz	Iruś
Iwa	Iwonka
Iwona	Iwonka
Izaak	Icek
Izabela	Bela
Izabela	Belunia
Izabela	Izia
Izabela	Izunia
Izabella	Izia
Izabella	Izunia
Izydor	Dorek
Izydor	Izydorek
jabłko	jabłuszko
Jadwiga	Jadwinia
Jadwiga	Jadwiśka
Jadwiga	Jadwiźka
Jadwiga	Jadwiżka
Jadwiga	Jadziunia
Jadwiga	Jadźka
Jadwiga	Jaga
Jadwiga	Jagusia
Jadwiga	Jaguśka
jajko	jajeczko
Jakub	Kuba
Jakub	Kubuś
jałówka	jałóweczka
Jan	Janek
Jan	Jasieczek
Jan	Jasiek
Jan	Jasio
janczary	janczarki
Janina	Janeczka
Janina	Janka
Janina	Jasia
Janina	Jaśka
Janusz	Januszek
jar	jarek
jarka	jareczka
Jarosław	Jareczek
Jarosław	Jarek
Jarosław	Jaruś
Jarosława	Jarka
jegomość	jegomościunio
Jerzy	Jerzyk
Jerzy	Jureczek
Jędrzej	Jędrek
Jędrzej	Jędruś
Jędrzej	Jędrzejek
Joachim	Joachimek
Joanna	Asia
Joanna	Aśka
Joanna	Joasia
Joanna	Joaśka
jola	jolka
Jola	Jolka
Jolanta	Jolka
Józef	Józefek
Józef	Józiek
Józef	Józik
Józef	Józio
Józef	Józuś
Józef	Józwa
Józef	Jóźko
Józef	Zeflik
Józef	Ziutek
Józefa	Józia
Józefa	Ziuta
Józefa	Ziutka
Józefina	Ziuta
Judyta	Judytka
Julia	Jula
Julia	Julcia
Julian	Jul
Julian	Julo
Juliana	Jula
Juliana	Julcia
Juliana	Ulcia
Julianna	Jula
Julianna	Julcia
Julianna	Ulcia
Juliusz	Jul
Juliusz	Julo
Justyna	Justynka
kac	kacyk
Kacper	Kacperek
Kacper	Kasperek
kaftan	kaftanik
Kajetan	Kajetanek
Kajetan	Kajtek
Kajetan	Tanek
kanister	kanisterek
kapelusz	kapelutek
karafka	karafinka
kardynał	kardynałek
Karina	Karinka
karo	karko
Karol	Karliczek
Karol	Karlik
Karol	Karolek
Karol	Lolo
Karolina	Karolcia
Karolina	Karolinka
Karolina	Karolka
Karolina	Karusia
karzeł	karlik
karzeł	karzełek
Kasper	Kaspruś
Katarzyna	Kacha
Katarzyna	Kachna
Katarzyna	Kasieńka
Katarzyna	Kasinka
Katarzyna	Kaśka
kawa	kawka
kawa	kawunia
kawa	kawusia
kawunia	kawuńcia
Kazimiera	Kazia
Kazimiera	Kazka
Kazimierz	Kazek
Kazimierz	Kazik
Kazimierz	Kazio
Kazimierz	Kaziuk
Kazimierz	Kazko
Kazimierz	Kaźko
kierz	kierzek
kiesa	kieska
kieszeń	kieszonka
kieszonka	kieszoneczka
kij	kijek
kikut	kikucik
kilim	kilimek
kinderbal	kinderbalik
Kinga	Kingusia
Kinga	Kinia
kita	kitka
kitel	kitelek
klacz	klaczka
klamerka	klamereczka
klamka	klameczka
klamra	klamerka
klan	klanik
Klara	Klarcia
Klara	Klarusia
Klaudyna	Klaudynka
Klemens	Klimek
Klotylda	Klocia
Klotylda	Tylda
klucz	kluczyk
kłamczuch	kłamczuszek
kłąb	kłębek
kłoda	kłodka
kmiot	kmiotek
kocur	kocurek
koczkodan	koczkodanik
kokarda	kokardka
kolano	kolanko
komin	kominek
kondel	kondlik
Konstancja	Kostka
Konstancja	Kostusia
Konstanty	Kostek
Konstanty	Kostuś
Konstantyn	Kostek
Konstantyn	Kostuś
kostium	kostiumik
kowal	kowalik
kozioł	koziołek
krakowiak	krakowiaczek
kram	kramik
kran	kranik
krem	kremik
krętacz	krętaczek
krosta	krostka
Krystyna	Krysia
Krystyna	Krystynka
Krystyna	Kryśka
Krystyna	Krzycha
Krystyna	Krzysia
Krystyna	Krzyśka
Krzysztof	Krzych
Krzysztof	Krzysiek
Krzysztof	Krzysio
Krzysztofa	Krzycha
Krzysztofa	Krzysia
Krzysztofa	Krzyśka
ksiądz	księżunio
księgarnia	księgarenka
kuciapa	kuciapka
kujawiak	Kujawiaczek
Kunegunda	Konda
Kunegunda	Końdzia
Kunegunda	Kunda
Kunegunda	Kundzia
kurier	kurierek
kurp	kurpik
kutas	kutasek
kutas	kutasik
kuzyn	kuzynek
kuźnia	kuzienka
kwef	kwefik
kwiaciarnia	kwiaciarenka
Lach	Laszek
Lech	Lesio
Leokadia	Kada
Leokadia	Loda
Leokadia	Lodzia
Leon	Leonek
Leon	Leoś
Leonora	Eleonorcia
Leonora	Eleonorka
Leopold	Poldek
Leopold	Poldzio
Leszek	Lesio
lichwa	lichewka
Lidia	Lideczka
Lidia	Lidzia
listek	listeczek
listewka	listeweczka
listwa	listewka
liść	listek
lora	lorka
Lucjan	Lucek
Lucjan	Lucio
Lucjan	Lucuś
Lucyna	Lusia
Ludmiła	Ludeczka
Ludmiła	Luśka
Ludomir	Ludek
Ludwik	Ludeczek
Ludwik	Ludek
Ludwik	Ludwiczek
Ludwik	Ludwiś
Ludwika	Ludka
Ludwika	Ludwinia
Ludwika	Ludwisia
Ludwika	Luśka
Ludwina	Ludwinka
lwię	lwiątko
łan	łanik
łańcuch	łańcuszek
łata	łatka
łódź	łódka
Łukasz	Łukaszek
Maciej	Maciek
Maciej	Maciuś
Maciej	Maćko
Magda	Madzia
Magda	Magdzia
Magdalena	Madzia
Magdalena	Magda
Magdalena	Magdzia
magiel	magielek
Maja	Majka
Maksym	Maksio
Maksym	Maksymek
Maksymilian	Maksio
Maksymilian	Maksymek
malina	malinka
Malwina	Malwinka
Małgorzata	Gosia
Małgorzata	Gosieńka
Małgorzata	Gośka
Małgorzata	Małgola
Małgorzata	Małgorzatka
Małgorzata	Małgosia
Małgorzata	Małgośka
Małgosia	Gosia
Marceli	Marcyś
Marcelina	Marcelka
Marcelina	Marcysia
marcepan	marcepanik
marchew	marchewka
Marcin	Marcinek
marcypan	marcypanik
Marek	Maruś
Maria	Mania
Maria	Mańka
Maria	Marynia
Maria	Marysia
Maria	Maryśka
Maria	Masza
Marian	Maniek
Marian	Maniuś
Marian	Marianek
Marian	Maryś
Mariola	Mariolcia
Mariola	Mariolka
Mariusz	Mariuszek
Marta	Marcia
Marta	Marteczka
Marta	Martunia
Marta	Martusia
Maryla	Marylenka
Marysia	Marysieńka
Marzena	Marzenka
Mateusz	Mateuszek
Mateusz	Matysek
Matylda	Tylda
mądrala	mądralka
mąż	mężunio
mecz	meczyk
Melania	Mela
Melania	Melanka
Melania	Melcia
Melania	Melka
Michalina	Michala
Michalina	Michasia
Michalina	Michaśka
Michalina	Misia
Michalina	Miśka
Michał	Michałek
Michał	Michaś
Michał	Misiek
Michał	Misza
Michał	Miś
Mieczysław	Mieciek
Mieczysław	Mieteczek
Mikołaj	Mikołajek
Milena	Milcia
Milena	Milka
miód	miodek
Mirosław	Mireczek
Mirosław	Miruś
Mirosława	Mira
Mirosława	Mireczka
Mirosława	Mirusia
młyn	młynek
moment	momencik
Monika	Monia
Monika	Moniczka
Monika	Monisia
Monika	Nika
mól	molik
muc	mucek
muszla	muszelka
Nadia	Nadzia
Nadzieja	Nadzia
Natalia	Natalka
Natalia	Tala
Natalia	Talka
Nikodem	Nik
Nikodem	Nikoś
Nikodem	Nikuś
Nina	Nineczka
Nina	Ninka
Nora	Eleonorcia
Nora	Eleonorka
Norbert	Bercik
Norbert	Norbercik
nos	nosio
obraz	obrazek
ojciec	ojcuś
ojciec	ojczulek
ojciec	ojczunio
ojciec	ojczuś
ojciec	ojczyk
okoń	okonek
okoń	okoniek
okręt	okręcik
Oktawia	Oktawiuszek
Oktawian	Oktawianek
Ola	Oleńka
Oleg	Oluś
Olgierd	Olgierdek
Olgierd	Olgierdzik
ołtarz	ołtarzyk
Onufry	Nufcio
organ	organik
orzech	orzeszek
orzeł	orzełek
osioł	osiołek
osłona	osłonka
oś	ośka
Otto	Ocio
Otto	Otek
Otton	Ocio
Otton	Otek
Otylia	Otylka
Otylia	Tylcia
Otylia	Tylka
owca	owieczka
ozór	ozorek
Pankracy	Panek
Pankracy	Pankracyk
papa	papunio
papier	papierek
papinek	papinecik
parawan	parawanik
parkan	parkanik
pas	pasek
pasek	paseczek
pasmo	pasemko
pasztet	pasztecik
Paulina	Paulinka
Paweł	Pawełek
Paweł	Pawluś
pchła	pchełka
Pelagia	Pela
Pelagia	Pelasia
Pelagia	Pelunia
pelikan	pelikanik
Petronela	Petronelcia
Petronela	Petronelka
piec	piecyk
pies	piesio
Piotr	Piotreczek
Piotr	Piotruś
plama	plamka
plan	planik
plaster	plasterek
pludry	pluderki
pochwa	pochewka
poduszka	poduszeczka
pokrętło	pokrętełko
Pola	Polcia
Pola	Polonka
Pola	Polunia
Pola	Polusia
pole	pólko
pop	popek
półżupan	półżupanik
problem	problemik
program	programik
protokół	protokólik
przecier	przecierek
przegroda	przegródka
przekręt	przekręcik
Przemysław	Przemek
Przemysław	Przemuś
radca	radcunio
radio	radyjko
Radosław	Radek
Rafał	Rafałek
Rajmund	Rajmundek
Rajmund	Rajmundzik
rama	ramka
rańtuch	rańtuszek
Renata	Rena
Renata	Renia
robak	robaczek
Robert	Rob
Robert	Robcio
Robert	Robercik
Robert	Robuś
robron	robronik
rolada	roladka
Roman	Romcio
Roman	Romeczek
Roman	Romek
Roman	Romuś
Romuald	Romcio
Romuald	Romeczek
Romuald	Romek
Romuald	Romuś
Rozalia	Rozalka
roztruchan	roztruchanik
Roża	Różyczka
Róża	Rózia
Róża	Różyczka
Rudolf	Dolek
Rudolf	Doluś
Rudolf	Rudek
Rudolf	Rudzio
rum	rumik
rurak	ruraczek
Ruta	Rutka
ryba	rybka
rybałt	rybałcik
rydz	rydzyk
Ryszard	Rysiek
Ryszard	Rysio
Ryszard	Ryś
Ryszarda	Rysia
rzemień	rzemyk
Sabina	Saba
Sabina	Sabcia
Sabina	Sabinka
Salomea	Sala
Salomea	Salcia
Salomea	Salka
Salomea	Salusia
Samuel	Sam
Samuel	Samek
Samuel	Samuelek
Sebastian	Bastek
Sebastian	Sobek
serce	serdunio
serce	serduszko
serweta	serwetka
sędzia	sędziunio
sito	sitko
skorupa	skorupka
skrupuł	skrupulik
skrzydło	skrzydełko
skrzynia	skrzynka
Sława	Sławka
Sławomir	Sławcio
Sławomir	Sławeczek
Sławomir	Sławek
Sławomir	Sławuś
Sławomira	Mira
Sławomira	Sława
Sławomira	Sławka
słonina	słoninka
słonka	słoneczka
słoń	słonik
słowo	słówko
słój	słoik
Sobiesław	Sobek
Sobiesław	Sobuś
socha	soszka
Sofia	Sonia
Sofia	Sońka
sokół	sokolik
sopran	sopranik
sposób	sposobik
spódnica	spódniczka
spór	sporek
stado	stadko
Stanisław	Stach
Stanisław	Stasiek
Stanisław	Stasio
Stanisław	Staszek
Stanisław	Staś
Stanisława	Stacha
Stanisława	Stasia
Stanisława	Staszka
starosta	starościunio
Stefan	Stefanek
Stefan	Stefcio
Stefan	Stefek
Stefan	Stefuś
Stefania	Stefa
Stefania	Stefcia
Stefania	Stefka
styl	stylik
suma	sumka
Sylwester	Sylwek
Sylwester	Sylwuś
szabel	szabelek
szaber	szaberek
szafa	szafka
szal	szalik
szaltuch	szaltuszek
szatan	szatanik
Szczepan	Szczepanek
Szczepan	Szczepcio
Szczepan	Szczepek
Szczepan	Szczepko
szczotka	szczoteczka
sześcian	sześcianik
szpaler	szpalerek
sztaba	sztabka
szufla	szufelka
szyja	szyjka
Szymon	Szymuś
ślina	ślinka
śruba	śrubka
światło	światełko
świeca	świeczka
Tadeusz	Tadek
Tadeusz	Tadeuszek
Tadeusz	Tadzik
Tadeusz	Tadzio
tapczan	tapczanik
tata	tatunio
Tekla	Teklunia
Tekla	Teklusia
Teodor	Dorek
Teodor	Teodorek
Teodor	Teoś
Teodora	Dosia
Teodora	Teodosia
Teodozja	Todzia
Teofil	Fil
Teofil	Teofilek
Teofil	Teoś
Teofila	Fila
Teofila	Teofilka
Teofila	Tosia
Teofila	Tośka
Teresa	Terenia
Teresa	Teresia
Teresa	Tereska
Teresa	Terka
Teresa	Tesia
teść	teściunio
tiul	tiulik
tłum	tłumik
Tomasz	Tomcio
Tomasz	Tomeczek
Tomasz	Tomuś
tram	tramik
tryl	trylik
tuba	tubka
tuleja	tulejka
tupet	tupecik
turczyn	turczynek
Turczyn	Turczynek
turkawka	turkaweczka
tynf	tynfik
tytuł	tytulik
ucho	uszko
ulica	uliczka
Urban	Urbanek
Urban	Urbaś
Urszula	Ula
Urszula	Ulcia
Urszula	Uleczka
Urszula	Uleńka
Urszula	Ulka
Urszula	Urszulka
Wacław	Wacek
Wacław	Wacio
Wacław	Wacławek
Wacław	Wacunio
Wacław	Wacuś
Waldemar	Waldeczek
Waldemar	Waldek
Waldemar	Walduś
Waldemar	Waldzio
Walenty	Walek
Walenty	Waluś
Walentyna	Wala
Waleria	Luśka
Waleria	Wala
Waleria	Walercia
Waleria	Walerka
Waleria	Walusia
Walery	Walerek
Wanda	Wandeczka
Wanda	Wandusia
Wanda	Wandzia
warka	wareczka
warząchew	warząchewka
Wawrzyniec	Wawrzek
Wawrzyniec	Wawrzuś
wątroba	wątróbka
wąwóz	wąwozik
Weronika	Wercia
Weronika	Werka
Weronika	Werońcia
węzeł	węzełek
wiadro	wiaderko
wiatrak	wiatraczek
wieczór	wieczorek
wiersz	wierszyk
wierzba	wierzbeczka
wierzba	wierzbiątko
wierzba	wierzbka
Wiesław	Wiesiek
Wiesław	Wiesio
Wiesława	Wiesia
Wiesława	Wieśka
Wiktor	Wicio
Wiktoria	Wika
Wiktoria	Wikcia
Wiktoria	Wikta
Wilhelm	Wilek
Wilhelm	Wiluś
Wincenty	Wicek
Wincenty	Wicuś
Wincenty	Wincek
Wit	Witek
Wit	Wituś
Witold	Tolek
Witold	Tolo
Witold	Witek
Witold	Wituś
wkręt	wkręcik
Władek	Władzio
Władysław	Wład
Władysław	Władeczek
Władysław	Władek
Władysława	Włada
Władysława	Władka
Władysława	Władzia
Włodzimierz	Włodeczek
Włodzimierz	Włodzio
włos	włosek
wnuk	wnuczek
Wojciech	Wojteczek
Wojciech	Wojtek
Wojciech	Wojtul
Wojciech	Wojtunio
Wojciech	Wojtuś
wrona	wronka
wróbel	wróblik
wykwit	wykwitek
wzór	wzorek
zaduma	zadumka
zajda	zajdka
zaszczyt	zaszczycik
zatoka	zatoczka
ząb	ząbek
Zbigniew	Zbynio
Zbigniew	Zbysio
Zbigniew	Zbyszek
Zbigniew	Zbyszko
Zbigniew	Zbyś
Zbygniew	Zbynio
Zbygniew	Zbysio
Zbygniew	Zbyszko
Zbygniew	Zbyś
Zdzisław	Zdzich
Zdzisław	Zdzicho
Zdzisław	Zdzisek
Zdzisław	Zdzisiek
Zdzisław	Zdzisio
Zdzisław	Zdziś
Zdzisława	Zdzisia
Zdzisława	Zdziśka
Zenobiusz	Zenio
Zenon	Zenek
Zenon	Zenio
Zenon	Zenuś
ziarno	ziarnko
ziele	ziółko
Zofia	Zochna
Zofia	Zosia
Zofia	Zosieńka
Zofia	Zośka
Zuzanna	Zula
Zuzanna	Zuza
Zuzanna	Zuzanka
Zuzanna	Zuzia
Zuzanna	Zuzka
zydel	zydlik
Zygfryd	Frydek
Zygmunt	Zyga
Zygmunt	Zygmuś
Zygmunt	Zyguś
Zygmunt	Zyś
źrebiec	źrebczyk
źródło	źródełko
żaba	żabka
Żaklina	Żaka
Żaklina	Żaklinka
Żaklina	Żakusia
Żaneta	Żanecia
Żaneta	Żanetka
żart	żarcik
żebro	żeberko
Żelisław	Żelek
żłób	żłóbek
żołnierz	żołnierzyk
żona	żoneczka
żona	żonka
żonka	żoneczka
żul	żulik
żupan	żupanik
żuraw	żurawik
